#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001477545.1	PRJNA342696	SAMN02380717	LFVZ00000000.1	representative genome	1408658	4754	Pneumocystis carinii B80	strain=B80		latest	Contig	Major	Full	2015/12/22	Pneu_cari_B80_V3	Broad Institute	GCA_001477545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3		
GCF_001638985.1	PRJNA342701	SAMN00189023	AMYC00000000.1	representative genome	763407	4837	Phycomyces blakesleeanus NRRL 1555(-)	strain=NRRL 1555(-)		latest	Scaffold	Major	Full	2016/05/06	Phybl2	JGI-PSF	GCA_001638985.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/638/985/GCF_001638985.1_Phybl2		
GCF_000002945.1	PRJNA127	SAMEA3138176		representative genome	4896	4896	Schizosaccharomyces pombe	strain=972h-		latest	Chromosome	Major	Full	2007/11/09	ASM294v2	S. pombe European Sequencing Consortium (EUPOM)	GCA_000002945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2		
GCF_000149845.2	PRJNA32667	SAMN02953668	AATM00000000.2	representative genome	402676	4897	Schizosaccharomyces japonicus yFS275	strain=yFS275		latest	Scaffold	Major	Full	2013/08/16	SJ5	Broad Institute	GCA_000149845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/845/GCF_000149845.2_SJ5		
GCF_000150505.1	PRJNA264110	SAMN02953709	ABHY00000000.3	representative genome	483514	4899	Schizosaccharomyces octosporus yFS286	strain=yFS286		latest	Scaffold	Major	Full	2013/07/30	SO6	Broad Institute	GCA_000150505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/505/GCF_000150505.1_SO6		
GCF_001661405.1	PRJNA374042	SAMN02616005	LTAD00000000.1	representative genome	983966	4903	Cyberlindnera jadinii NRRL Y-1542	strain=NRRL Y-1542		latest	Scaffold	Major	Full	2016/09/15	Cybja1	DOE Joint Genome Institute	GCA_001661405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/405/GCF_001661405.1_Cybja1		assembly from type material
GCF_003054445.1	PRJNA545694	SAMN08558011		representative genome	4909	4909	Pichia kudriavzevii	strain=CBS573		latest	Complete Genome	Major	Full	2018/04/17	ASM305444v1	University College Dublin	GCA_003054445.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1		assembly from synonym type material
GCF_001417885.1	PRJNA264644	SAMD00067077		representative genome	1003335	4911	Kluyveromyces marxianus DMKU3-1042	strain=DMKU3-1042		latest	Complete Genome	Major	Full	2014/01/14	Kmar_1.0	Yamaguchi University	GCA_001417885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0		
GCF_000209165.1	PRJNA18881	SAMN02746101	AAVQ00000000.1	representative genome	322104	4924	Scheffersomyces stipitis CBS 6054	strain=CBS 6054		latest	Chromosome	Major	Full	2007/02/26	ASM20916v1	DOE Joint Genome Institute	GCA_000209165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/165/GCF_000209165.1_ASM20916v1		
GCF_001661235.1	PRJNA352841	SAMN00760710	AEHA00000000.1	representative genome	763406	4926	Pichia membranifaciens NRRL Y-2026	strain=NRRL Y-2026		latest	Scaffold	Major	Full	2016/09/09	Picme2	JGI-PSF	GCA_001661235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/235/GCF_001661235.1_Picme2		assembly from type material
